idsubsls,kecamatan,desa,nama_sls,dominan,keluarga_awal,usaha_awal,keluarga_prelist,umkm_keluarga,st2023,umk,um,usaha_lain,umk_um,usaha_final,total_usaha_final,level_geografis,is_prioritas
2105010009000200,JEMAJA,AIR BIRU,RT 005 RW 001 DUSUN 1,1,14,1,14,0,6,0,0,1,0,1,7,sls,TRUE
2105010009000300,JEMAJA,AIR BIRU,RT 002 RW 002 DUSUN 1,1,26,1,22,0,20,0,0,1,0,1,21,sls,TRUE
2105010009000400,JEMAJA,AIR BIRU,RT 003 RW 002 DUSUN 1,1,32,2,30,0,17,0,0,2,0,2,19,sls,TRUE
2105010009000500,JEMAJA,AIR BIRU,RT 004 RW 003 DUSUN 2,1,29,2,24,0,10,2,0,2,2,2,12,sls,TRUE
2105010009200100,JEMAJA,AIR BIRU,HUTAN DARAT,11,0,0,0,0,0,1,0,0,1,1,1,sls,TRUE
2105010009200200,JEMAJA,AIR BIRU,HUTAN PULAU,11,0,0,0,0,0,1,0,0,1,1,1,sls,TRUE
2105010011000100,JEMAJA,BATU BERAPIT,RT 001 RW 001 DUSUN 1,1,68,13,59,0,21,20,0,13,20,20,41,sls,TRUE
2105010011000200,JEMAJA,BATU BERAPIT,RT 002 RW 001 DUSUN 1,1,26,1,42,0,12,24,0,1,24,24,36,sls,TRUE
2105010011000300,JEMAJA,BATU BERAPIT,RT 003 RW 001 DUSUN 1,1,50,14,24,0,14,1,0,14,1,14,28,sls,TRUE
2105010011000400,JEMAJA,BATU BERAPIT,RT 004 RW 002 DUSUN 1,1,43,0,37,0,20,3,0,0,3,3,23,sls,TRUE
2105010011000500,JEMAJA,BATU BERAPIT,RT 005 RW 002 DUSUN 1,1,22,1,28,0,9,6,0,1,6,6,15,sls,TRUE
2105010011000600,JEMAJA,BATU BERAPIT,RT 006 RW 002 DUSUN 1,1,39,2,45,0,16,3,0,2,3,3,19,sls,TRUE
2105010011000700,JEMAJA,BATU BERAPIT,RT 007 RW 003 DUSUN 2,1,26,2,29,0,19,1,0,2,1,2,21,sls,TRUE
2105010011000800,JEMAJA,BATU BERAPIT,RT 008 RW 003 DUSUN 2,1,23,2,21,0,15,1,0,2,1,2,17,sls,TRUE
2105010011000900,JEMAJA,BATU BERAPIT,RT 009 RW 003 DUSUN 2,1,21,2,21,0,13,1,0,2,1,2,15,sls,TRUE
